Age,Gender,Ad name,Reach,Impressions,Frequency,Result Type,Results,Cost per result,Amount spent (PKR),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Reporting starts,Reporting ends,Creative
35-44,male,Car insurance video traffic campaign | 10 july,7138,15529,2.17553937,Messaging conversations started,13,234.9282056,3054.066672,196.6685989,54,56.55679023,0.34773649,6/1/2024,8/27/2024,
45-54,male,Old Creative Inspection Campaign | Saqib | 24 June,9684,15850,1.63672036,Messaging conversations started,20,150.8700829,3017.401658,190.3723444,98,30.78981284,0.61829653,6/1/2024,8/27/2024,image
65+,male,Sale My Car | Traffic Campaign | Saqib | 10th june,41092,96140,2.33962815,Link clicks,956,3.12528499,2987.772446,31.07730857,956,3.12528499,0.99438319,6/1/2024,8/27/2024,
18-24,male,Inspection hasan video campaign | 6th July | Conversion,17450,38383,2.19959885,Messaging conversations started,57,51.41387837,2930.591067,76.35127705,172,17.03832016,0.44811505,6/1/2024,8/27/2024,video
18-24,male,Car insurance video traffic campaign | 10 july,13735,25227,1.83669458,Messaging conversations started,25,114.1882065,2854.705162,113.1607072,104,27.44908809,0.41225671,6/1/2024,8/27/2024,
18-24,male,New Inspection Campaign | Saqib | 29 June,11161,22378,2.00501747,Messaging conversations started,28,101.4362815,2840.215882,126.9200054,117,24.27534942,0.52283493,6/1/2024,8/27/2024,image
25-34,male,Car insurance conversion campaign | 26 june –,4858,8394,1.72787155,Messaging conversations started,2,1409.683673,2819.367347,335.8788833,22,128.1530612,0.26209197,6/1/2024,8/27/2024,
35-44,male,Website Traffic | Saqib | 1 June,57583,96586,1.67733532,Link clicks,620,4.42381205,2742.763469,28.3971121,620,4.42381205,0.64191498,6/1/2024,8/27/2024,
25-34,male,Car insurance conversion campaign | 26 june,5158,7684,1.4897247,Messaging conversations started,29,89.5500538,2596.95156,337.968709,82,31.67014098,1.06715252,6/1/2024,8/27/2024,
18-24,male,Car insurance conversion campaign | 26 june,4863,7970,1.63890603,Messaging conversations started,21,119.6211664,2512.044495,315.1875151,72,34.88950688,0.9033877,6/1/2024,8/27/2024,
18-24,male,Old Creative Inspection Campaign | Saqib | 24 June,11662,17636,1.51226205,Messaging conversations started,12,208.3848727,2500.618473,141.7905689,74,33.79214152,0.41959628,6/1/2024,8/27/2024,image
35-44,male,Creative Change Inspection Campaign | Engagement | 19 July,8184,16439,2.00867546,Messaging conversations started,16,154.7373199,2475.797118,150.6050927,84,29.47377522,0.51097999,6/1/2024,8/27/2024,image
25-34,male,Inspection Campaign | Saqib | 31 May | Creative Change –,9344,16786,1.79644692,Messaging conversations started,18,136.7048539,2460.68737,146.591646,87,28.28376288,0.51828905,6/1/2024,8/27/2024,image
25-34,male,Car insurance conversion campaign | 26 june,4525,7838,1.7321547,Messaging conversations started,8,292.1355546,2337.084437,298.1735694,42,55.64486754,0.53585098,6/1/2024,8/27/2024,
25-34,male,New Creative Inspection Campaign | Saqib | 22 June,12158,17501,1.43946373,Messaging conversations started,52,43.73454136,2274.196151,129.9466402,158,14.39364652,0.90280555,6/1/2024,8/27/2024,image
18-24,male,Car insurance video traffic campaign | 10 july,8537,15922,1.86505798,Messaging conversations started,7,322.2998543,2256.09898,141.6969589,46,49.04563,0.28890843,6/1/2024,8/27/2024,
55-64,male,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,3754,7678,2.04528503,Messaging conversations started,17,129.7922291,2206.467894,287.3753444,32,68.95212169,0.4167752,6/1/2024,8/27/2024,video
18-24,male,Raza Video Inspection Campaign 2 | Engagement | 19 July,13490,21779,1.61445515,Messaging conversations started,20,109.9749279,2199.498558,100.9917149,117,18.79913297,0.53721475,6/1/2024,8/27/2024,video
25-34,male,Inspection Campaign | Saqib | 6 June | Multiple adset,6634,11973,1.80479349,Messaging conversations started,12,177.630753,2131.569036,178.0313235,58,36.75119027,0.48442329,6/1/2024,8/27/2024,image
25-34,male,Update creative inspection campaign | 25 june -,8029,11807,1.47054428,Messaging conversations started,20,98.58674171,1971.734834,166.9971063,59,33.41923448,0.49970357,6/1/2024,8/27/2024,image
35-44,male,New Creative Inspection Campaign | Saqib | 22 June,8549,13132,1.53608609,Messaging conversations started,41,47.54747278,1949.446384,148.4500749,134,14.54810734,1.02040816,6/1/2024,8/27/2024,image
35-44,male,Car insurance conversion campaign | 26 june –,2455,4839,1.97107943,Messaging conversations started,7,270.1432025,1891.002417,390.7837192,28,67.53580062,0.57863195,6/1/2024,8/27/2024,
25-34,male,Inspection Campaign | Saqib | 6 June | Multiple adset,6056,11506,1.89993395,Messaging conversations started,9,206.8885027,1861.996524,161.8283091,51,36.50973577,0.443247,6/1/2024,8/27/2024,image
35-44,male,Update creative inspection campaign | 25 june -,5978,9555,1.59836066,Messaging conversations started,13,139.1419945,1808.845929,189.3088361,46,39.32273759,0.48142334,6/1/2024,8/27/2024,image
18-24,male,Inspection Campaign | Saqib | 31 May | Creative Change –,8712,16356,1.87741047,Messaging conversations started,9,196.476221,1768.285989,108.112374,82,21.56446328,0.50134507,6/1/2024,8/27/2024,image
35-44,male,Inspection Campaign | Saqib | 6 June | Multiple adset,4744,8395,1.76960371,Messaging conversations started,8,212.9282856,1703.426285,202.909623,36,47.3173968,0.42882668,6/1/2024,8/27/2024,image
18-24,male,Car insurance video traffic campaign | 10 july,7078,14931,2.10949421,Messaging conversations started,15,112.5052116,1687.578174,113.0251272,53,31.84109762,0.35496618,6/1/2024,8/27/2024,
55-64,male,New Inspection Campaign | Saqib | 29 June,4496,10492,2.33362989,Messaging conversations started,18,93.03645041,1674.656107,159.6126675,87,19.24892078,0.8292032,6/1/2024,8/27/2024,image
35-44,male,Inspection Campaign | Saqib | 31 May | Creative Change –,4844,9045,1.86725846,Messaging conversations started,10,164.3038641,1643.038641,181.6515911,50,32.86077282,0.5527916,6/1/2024,8/27/2024,image
45-54,male,Inspection hasan video campaign | 6th July | Conversion,7575,15764,2.08105611,Messaging conversations started,29,55.24230221,1602.026764,101.6256511,67,23.91084722,0.42501903,6/1/2024,8/27/2024,video
35-44,male,Car insurance conversion campaign | 26 june,2491,4162,1.67081493,Messaging conversations started,5,317.9140642,1589.570321,381.9246326,20,79.47851605,0.4805382,6/1/2024,8/27/2024,
35-44,male,Inspection Campaign | Saqib | 6 June | Multiple adset,3973,7531,1.89554493,Messaging conversations started,5,317.7792208,1588.896104,210.9807601,28,56.74628943,0.37179657,6/1/2024,8/27/2024,image
18-24,male,Car insurance conversion campaign | 26 june –,3110,5176,1.66430868,Messaging conversations started,5,316.5777835,1582.888917,305.8131602,16,98.93055734,0.30911901,6/1/2024,8/27/2024,
55-64,male,Old Creative Inspection Campaign | Saqib | 24 June,4052,7120,1.75715696,Messaging conversations started,12,130.0947375,1561.13685,219.2607936,65,24.01749,0.91292135,6/1/2024,8/27/2024,image
25-34,male,Inspection Campaign | Saqib | 6 June | Multiple adset,5193,8782,1.69112267,Messaging conversations started,19,80.70671572,1533.427599,174.6102936,45,34.07616886,0.51241175,6/1/2024,8/27/2024,image
45-54,male,Website Traffic | Saqib | 1 June,28632,48514,1.69439788,Link clicks,326,4.62749491,1508.56334,31.09542277,326,4.62749491,0.67197098,6/1/2024,8/27/2024,
25-34,male,Inspection Campaign | Saqib | 6 June -,161149,161149,1,Reach,161149,9.28066955,1495.570617,9.28066955,91,16.43484195,0.05646948,6/1/2024,8/27/2024,image
35-44,female,New Creative Free Ad Website Traffic | Saqib | 27 June,92,112,1.2173913,,,,1441.510957,12870.63355,1,1441.510957,0.89285714,6/1/2024,8/27/2024,
18-24,male,Inspection Campaign | Saqib | 6 June -,136994,138181,1.00866461,Reach,136994,9.40639168,1288.619222,9.32558906,75,17.18158962,0.05427664,6/1/2024,8/27/2024,image
45-54,male,Car insurance video traffic campaign | 10 july,3292,6912,2.09963548,Messaging conversations started,5,250.5219041,1252.609521,181.2224422,19,65.92681687,0.27488426,6/1/2024,8/27/2024,
18-24,male,New Creative Inspection Campaign | Saqib | 22 June,7224,10317,1.42815615,Messaging conversations started,38,32.74833678,1244.436798,120.620025,94,13.23868934,0.91111757,6/1/2024,8/27/2024,image
35-44,male,Inspection Campaign | Saqib | 6 June | Multiple adset,3361,5641,1.67836953,Messaging conversations started,10,122.320673,1223.20673,216.8421787,36,33.97796473,0.63818472,6/1/2024,8/27/2024,image
35-44,male,Car insurance conversion campaign | 26 june,2084,3369,1.61660269,Messaging conversations started,11,110.1615207,1211.776727,359.6843952,25,48.4710691,0.74205996,6/1/2024,8/27/2024,
25-34,male,Inspection Campaign | Saqib | 6 June | Multiple adset,3681,6690,1.81744091,Messaging conversations started,3,399.8364427,1199.509328,179.2988532,23,52.15257949,0.34379671,6/1/2024,8/27/2024,image
25-34,male,Inspection Image Campaign | 26 July | Engagement,5805,8279,1.42618432,Messaging conversations started,8,140.0134148,1120.107318,135.2950016,50,22.40214637,0.60393767,6/1/2024,8/27/2024,image
35-44,male,Inspection Image Campaign | 26 July | Engagement,5215,7556,1.44889741,Messaging conversations started,15,74.34524843,1115.178726,147.5885027,52,21.44574474,0.68819481,6/1/2024,8/27/2024,image
45-54,male,Raza Video Inspection Campaign 2 | Engagement | 19 July,4427,7106,1.60515021,Messaging conversations started,13,85.49832464,1111.47822,156.4140473,103,10.79105068,1.44947931,6/1/2024,8/27/2024,
18-24,male,Raza creative car insurance conversion campaign | 26 june,1868,2143,1.14721627,Messaging conversations started,21,52.31802741,1098.678576,512.6824898,40,27.46696439,1.86654223,6/1/2024,8/27/2024,
25-34,male,Raza creative car insurance conversion campaign | 28 june,2140,3030,1.41588785,Messaging conversations started,4,273.8687987,1095.475195,361.5429685,9,121.7194661,0.2970297,6/1/2024,8/27/2024,
18-24,male,Inspection Campaign | Saqib | 6 June | Multiple adset,4353,8072,1.85435332,Messaging conversations started,7,155.3648543,1087.55398,134.7316625,37,29.39335081,0.45837463,6/1/2024,8/27/2024,image
25-34,male,Inspection Campaign | Saqib | 6 June | Multiple adset,3976,6459,1.62449698,Messaging conversations started,8,134.9079141,1079.263312,167.0944902,32,33.72697851,0.49543273,6/1/2024,8/27/2024,image
18-24,male,Lead Generation Inspection Campaign | Saqib | 31 May,12475,18297,1.46669339,Meta leads,12,89.28848191,1071.461783,58.55942411,91,11.77430531,0.49734929,6/1/2024,8/27/2024,image
45-54,male,Update creative inspection campaign | 25 june -,3121,4912,1.57385453,Messaging conversations started,6,175.369839,1052.219034,214.2139727,34,30.94761865,0.69218241,6/1/2024,8/27/2024,image
18-24,male,Inspection Campaign | Saqib | 6 June | Multiple adset,3888,6898,1.77417695,Messaging conversations started,8,128.6332153,1029.065723,149.1832013,48,21.43886922,0.69585387,6/1/2024,8/27/2024,image
18-24,male,Creative Change Inspection Campaign | Engagement | 19 July,3960,7270,1.83585859,Messaging conversations started,8,127.519301,1020.154408,140.3238525,32,31.87982524,0.44016506,6/1/2024,8/27/2024,image
45-54,male,Car insurance video traffic campaign | 10 july,3418,6400,1.87244002,Messaging conversations started,7,143.3187382,1003.231168,156.7548699,24,41.80129865,0.375,6/1/2024,8/27/2024,
45-54,male,Car insurance video traffic campaign | 10 july,2510,4661,1.85697211,Messaging conversations started,4,248.9679968,995.8719872,213.6605851,18,55.32622151,0.38618322,6/1/2024,8/27/2024,
25-34,female,New Creative Free Ad Website Traffic | Saqib | 27 June,26532,42919,1.61763154,Link clicks,299,3.32539389,994.2927717,23.16672736,299,3.32539389,0.69666115,6/1/2024,8/27/2024,
25-34,male,Raza creative car insurance conversion campaign | 26 june,2026,2476,1.22211254,Messaging conversations started,9,109.1956089,982.7604804,396.914572,29,33.88829243,1.17124394,6/1/2024,8/27/2024,
65+,male,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,1406,3106,2.20910384,Messaging conversations started,10,98.05802994,980.5802994,315.7051833,16,61.28626871,0.515132,6/1/2024,8/27/2024,video
25-34,male,Lead Generation Inspection Campaign | Saqib | 31 May,7723,10557,1.36695585,Meta leads,17,57.37887899,975.4409428,92.39755071,81,12.04248078,0.76726343,6/1/2024,8/27/2024,image
45-54,male,New Creative Inspection Campaign | Saqib | 22 June,4183,6197,1.48147263,Messaging conversations started,14,69.35620988,970.9869384,156.6866126,61,15.91781866,0.98434726,6/1/2024,8/27/2024,image
35-44,male,Inspection Campaign | Saqib | 6 June | Multiple adset,2466,4526,1.83536091,Messaging conversations started,7,134.5101372,941.5709603,208.0360054,26,36.2142677,0.57445868,6/1/2024,8/27/2024,image
35-44,male,Inspection Campaign | Saqib | 6 June | Multiple adset,2821,4515,1.60049628,Messaging conversations started,1,934.186435,934.186435,206.9072946,20,46.70932175,0.44296788,6/1/2024,8/27/2024,image
45-54,male,Creative Change Inspection Campaign | Engagement | 19 July,3338,6457,1.93439185,Messaging conversations started,8,116.3940331,931.1522649,144.2081872,39,23.8756991,0.60399566,6/1/2024,8/27/2024,image
35-44,male,Raza creative car insurance conversion campaign | 28 june,1393,2144,1.53912419,Messaging conversations started,3,304.9258454,914.7775363,426.668627,13,70.36750279,0.60634328,6/1/2024,8/27/2024,
25-34,female,Sale My Car | Traffic Campaign | Saqib | 10th june,21950,39025,1.77790433,Link clicks,304,2.99238438,909.6848512,23.31031009,304,2.99238438,0.77898783,6/1/2024,8/27/2024,
35-44,male,Raza creative car insurance conversion campaign | 28 june,1387,2055,1.481615,Messaging conversations started,3,301.3978407,904.1935222,439.9968478,12,75.34946019,0.58394161,6/1/2024,8/27/2024,
25-34,female,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,2301,3436,1.4932638,Messaging conversations started,7,124.4298727,871.0091085,253.495084,6,145.1681848,0.17462165,6/1/2024,8/27/2024,video
45-54,male,Car insurance conversion campaign | 26 june –,1170,1884,1.61025641,Messaging conversations started,1,854.9066125,854.9066125,453.7720873,10,85.49066125,0.53078556,6/1/2024,8/27/2024,
25-34,male,Raza creative car insurance conversion campaign | 28 june,1683,2365,1.40522876,Messaging conversations started,3,282.5538323,847.6614969,358.4192376,16,52.97884355,0.67653277,6/1/2024,8/27/2024,
18-24,female,Sale My Car | Traffic Campaign | Saqib | 10th june,24502,38076,1.55399559,Link clicks,294,2.85110082,838.2236413,22.0144879,294,2.85110082,0.77213993,6/1/2024,8/27/2024,
18-24,male,Inspection Campaign | Saqib | 6 June | Multiple adset,3904,6304,1.6147541,Messaging conversations started,11,75.17059791,826.876577,131.1669697,50,16.53753154,0.79314721,6/1/2024,8/27/2024,image
18-24,male,Update creative inspection campaign | 25 june -,4054,5542,1.36704489,Messaging conversations started,4,206.2097327,824.8389309,148.8341629,27,30.54959003,0.48718874,6/1/2024,8/27/2024,image
18-24,female,New Creative Free Ad Website Traffic | Saqib | 27 June,26532,38476,1.45017338,Link clicks,246,3.27987777,806.8499316,20.97021342,246,3.27987777,0.6393596,6/1/2024,8/27/2024,
18-24,female,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,2332,3649,1.56475129,Messaging conversations started,4,193.8085361,775.2341445,212.4511221,12,64.60284537,0.32885722,6/1/2024,8/27/2024,video
45-54,male,Inspection Campaign | Saqib | 6 June | Multiple adset,2046,3340,1.63245357,Messaging conversations started,5,154.5227643,772.6138217,231.3215035,20,38.63069108,0.5988024,6/1/2024,8/27/2024,image
18-24,male,Inspection Campaign | Saqib | 6 June | Multiple adset,2565,4146,1.61637427,Messaging conversations started,2,371.6203086,743.2406172,179.266912,18,41.2911454,0.4341534,6/1/2024,8/27/2024,image
65+,male,Old Creative Inspection Campaign | Saqib | 24 June,1420,2783,1.95985915,Messaging conversations started,2,358.0095648,716.0191296,257.2831943,41,17.46388121,1.47323033,6/1/2024,8/27/2024,image
45-54,male,Inspection Campaign | Saqib | 31 May | Creative Change –,1918,3345,1.74400417,Messaging conversations started,4,174.2839971,697.1359885,208.4113568,13,53.62584527,0.38863976,6/1/2024,8/27/2024,image
45-54,male,Car insurance conversion campaign | 26 june,880,1571,1.78522727,Messaging conversations started,2,341.903187,683.8063739,435.2682202,8,85.47579674,0.50922979,6/1/2024,8/27/2024,
35-44,male,Inspection Campaign | Saqib | 6 June -,68369,73421,1.07389314,Reach,68369,9.99174318,683.1254898,9.30422481,26,26.2740573,0.03541221,6/1/2024,8/27/2024,image
18-24,male,Raza creative car insurance conversion campaign | 28 june,1425,1948,1.36701754,,,,678.9190157,348.5210553,5,135.7838031,0.25667351,6/1/2024,8/27/2024,
35-44,male,Lead Generation Inspection Campaign | Saqib | 31 May,3666,4879,1.33087834,Meta leads,2,338.1365111,676.2730222,138.6089408,35,19.32208635,0.71736011,6/1/2024,8/27/2024,image
18-24,male,Inspection Campaign | Saqib | 6 June | Multiple adset,2790,4062,1.45591398,Messaging conversations started,5,132.1664367,660.8321836,162.6864066,18,36.71289909,0.44313146,6/1/2024,8/27/2024,image
35-44,male,Raza creative car insurance conversion campaign | 26 june,1299,1692,1.30254042,Messaging conversations started,7,89.91740273,629.4218191,371.9987111,19,33.12746416,1.12293144,6/1/2024,8/27/2024,
45-54,male,Lead Generation Inspection Campaign | Saqib | 31 May,1829,2659,1.45379989,Meta leads,5,119.4418702,597.2093509,224.5992294,31,19.26481777,1.16585182,6/1/2024,8/27/2024,image
25-34,male,Rasha Inspection Campaign | Multiple Adset | 23 July,4004,6217,1.5526973,Messaging conversations started,6,99.48203723,596.8922234,96.00968689,21,28.42343921,0.3377835,6/1/2024,8/27/2024,image
18-24,male,Raza creative car insurance conversion campaign | 28 june,974,1314,1.34907598,Messaging conversations started,4,146.5866548,586.3466193,446.2303039,12,48.86221827,0.91324201,6/1/2024,8/27/2024,
35-44,female,New Creative Free Ad Website Traffic | Saqib | 27 June,16327,23240,1.42340908,Link clicks,172,3.38338623,581.9424307,25.0405521,172,3.38338623,0.74010327,6/1/2024,8/27/2024,
35-44,female,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,1358,1920,1.41384389,Messaging conversations started,4,145.1074561,580.4298243,302.3072001,5,116.0859649,0.26041667,6/1/2024,8/27/2024,video
65+,male,New Inspection Campaign | Saqib | 29 June,1355,3185,2.35055351,Messaging conversations started,4,143.3231034,573.2924136,179.9976181,39,14.69980548,1.2244898,6/1/2024,8/27/2024,image
55-64,male,Update creative inspection campaign | 25 june -,1445,2215,1.53287197,Messaging conversations started,6,95.32361012,571.9416607,258.2129394,30,19.06472202,1.35440181,6/1/2024,8/27/2024,image
45-54,male,Inspection Campaign | Saqib | 6 June | Multiple adset,1371,2572,1.87600292,Messaging conversations started,2,283.9052933,567.8105865,220.7661689,14,40.55789904,0.54432348,6/1/2024,8/27/2024,image
55-64,male,Inspection hasan video campaign | 6th July | Conversion,2093,4468,2.13473483,Messaging conversations started,13,43.4427994,564.7563922,126.4002668,39,14.48093313,0.87287377,6/1/2024,8/27/2024,video
45-54,male,Raza creative car insurance conversion campaign | 28 june,799,1115,1.39549437,Messaging conversations started,3,186.3175177,558.9525531,501.3027382,8,69.86906913,0.71748879,6/1/2024,8/27/2024,
35-44,female,Sale My Car | Traffic Campaign | Saqib | 10th june,13017,21112,1.62187908,Link clicks,175,3.13309324,548.2913165,25.97060044,175,3.13309324,0.82891247,6/1/2024,8/27/2024,
55-64,male,Raza Video Inspection Campaign 2 | Engagement | 19 July,1534,2465,1.60691004,Messaging conversations started,3,175.2034536,525.6103609,213.2293553,33,15.92758669,1.33874239,6/1/2024,8/27/2024,video
18-24,female,Car insurance conversion campaign | 26 june,791,1090,1.37800253,Messaging conversations started,5,100.0626275,500.3131373,459.0028782,15,33.35420915,1.37614679,6/1/2024,8/27/2024,
25-34,male,Inspection Campaign | Saqib | 5 June | Creative Change,2616,3026,1.15672783,Messaging conversations started,3,166.6043196,499.8129589,165.1728218,18,27.7673866,0.59484468,6/1/2024,8/27/2024,image
55-64,female,New Creative Free Ad Website Traffic | Saqib | 27 June,7909,16642,2.10418511,Link clicks,166,2.98978706,496.3046513,29.82241625,166,2.98978706,0.99747626,6/1/2024,8/27/2024,
55-64,male,Car insurance video traffic campaign | 10 july,1023,2185,2.13587488,Messaging conversations started,1,494.1514568,494.1514568,226.1562731,6,82.35857613,0.27459954,6/1/2024,8/27/2024,
35-44,male,Rasha Inspection Campaign | Multiple Adset | 23 July,3321,5182,1.56037338,Messaging conversations started,7,69.75274363,488.2692054,94.22408441,12,40.68910045,0.23157082,6/1/2024,8/27/2024,image
55-64,male,Inspection Campaign | Saqib | 6 June | Multiple adset,754,1117,1.48143236,Messaging conversations started,2,242.1025586,484.2051173,433.4871238,20,24.21025586,1.7905103,6/1/2024,8/27/2024,image
